Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,AGG,Risk_Free
3/31/14,-0.05284146,-0.06612,0.005308,-0.003215,-0.001485,0.00004167
4/30/14,-0.03222738,-0.04148,0.001214,0.003582,0.008219,0.00004167
5/31/14,0.01822392,0.03479,0.021821,0.006829,0.011791,0.00002500
6/30/14,0.06186333,0.06585,0.025082,-0.000795,-0.000569,0.00003333
7/31/14,-0.042668,-0.03896,-0.019727,-0.001956,-0.002511,0.00003333
8/31/14,0.07331998,0.08195,0.041955,0.006787,0.01149,0.00002500
9/30/14,-0.03124465,-0.01819,-0.020845,-0.00346,-0.006146,0.00002500
10/31/14,0.00972514,0.00269,0.027513,0.00653,0.010631,0.00001667
11/30/14,0.01875491,0.00816,0.024234,0.004735,0.006573,0.00000833
12/31/14,-0.00090178,0.00665,-0.000011,-0.001486,0.001481,0.00001667
1/31/15,0.00509217,0.00359,-0.027832,0.016604,0.020523,0.00003333
2/28/15,0.00836507,0.00615,0.057901,-0.009156,-0.008947,0.00001667
3/31/15,-0.01917567,-0.02287,-0.010166,0.004924,0.003753,0.00001667
4/30/15,-0.04295304,-0.03539,0.004523,-0.001711,-0.003236,0.00002500
5/31/15,0.04285673,0.04737,0.013831,-0.003423,-0.004368,0.00000833
6/30/15,0.00233178,-0.0016,-0.01673,-0.014833,-0.010759,0.00000833
7/31/15,0.03939084,0.05031,0.016725,0.00835,0.008631,0.00000833
8/31/15,-0.06317649,-0.06977,-0.06037,-0.003865,-0.003361,0.00006667
9/30/15,0.0266074,0.02902,-0.02914,0.009025,0.008112,0.00006667
10/31/15,0.03324901,0.04124,0.078985,0.00322,0.000685,-0.00000833
11/30/15,-0.00464313,-0.00531,0.005544,-0.004585,-0.00389,0.00006667
12/31/15,-0.027761,-0.02138,-0.020525,-0.007683,-0.001928,0.00018333
1/31/16,-0.03581885,-0.06563,-0.056425,0.013154,0.012406,0.00013333
2/29/16,0.01080616,0.01691,-0.000322,0.003814,0.008873,0.00026667
3/31/16,0.05959628,0.05752,0.070406,0.002424,0.008703,0.00027500
4/30/16,-0.0113824,-0.01397,0.006198,0.000194,0.002592,0.00017500
5/31/16,0.03007361,0.03268,0.01789,-0.001596,0.000139,0.00018333
6/30/16,0.05554084,0.0509,0.002056,0.027151,0.019309,0.00028333
7/31/16,0.00159065,-0.00205,0.039687,0.007037,0.005489,0.00021667
8/31/16,-0.01711242,-0.0118,0.002551,-0.002536,-0.002152,0.00022500
9/30/16,-0.0022579,0.00179,0.001572,0.001099,0.000511,0.00027500
10/31/16,-0.06459148,-0.06986,-0.021636,-0.010729,-0.008168,0.00023333
11/30/16,0.08242793,0.09105,0.044752,-0.03107,-0.025656,0.00028333
12/31/16,-0.00047113,-0.00931,0.019513,0.003925,0.002544,0.00040000
1/31/17,0.04681442,0.04126,0.018822,0.002277,0.002128,0.00041667
2/28/17,0.06010612,0.05487,0.037192,0.002888,0.006462,0.00043333
3/31/17,0.02164097,0.02393,0.00068,0.000852,-0.000541,0.00044167
4/30/17,-0.01412575,-0.00995,0.0106,0.005151,0.009066,0.00062500
5/31/17,0.02891826,0.03012,0.010234,0.003583,0.006878,0.00065833
6/30/17,-0.00597556,-0.00303,0.009024,-0.0019,-0.00018,0.00080000
7/31/17,0.04233196,0.0419,0.018855,0.00325,0.003345,0.00084167
8/31/17,0.02596771,0.03201,0.001927,0.005791,0.009406,0.00087500
9/30/17,-0.01278246,-0.02184,0.024388,-0.005612,-0.005713,0.00082500
10/31/17,0.0507356,0.05972,0.021822,-0.000969,0.00098,0.00086667
11/30/17,0.02029647,0.01623,0.030365,-0.002504,-0.001484,0.00094167
12/31/17,0.01176785,0.01771,0.009995,0.000212,0.004748,0.00104167
1/31/18,0.07325843,0.08634,0.052711,-0.008543,-0.01125,0.00114167
2/28/18,-0.01026037,-0.01241,-0.03686,-0.003775,-0.010082,0.00120000
3/31/18,0.0469242,0.05055,-0.020074,0.004351,0.00671,0.00135833
4/30/18,-0.01251363,-0.01413,0.003801,-0.004737,-0.009405,0.00141667
5/31/18,0.00729737,0.00251,0.02823,0.005136,0.006621,0.00153333
6/30/18,-0.02549938,-0.0342,0.00654,0.000787,0.001032,0.00157500
7/31/18,0.00731723,0.01066,0.033186,-0.001122,-0.000289,0.00157500
8/31/18,0.11172828,0.11739,0.035118,0.005189,0.005685,0.00165833
9/30/18,-0.01794253,-0.02168,0.001655,-0.004185,-0.006191,0.00172500
10/31/18,0.00699552,0.00792,-0.073633,-0.00016,-0.006444,0.00179167
11/30/18,0.05857922,0.06053,0.020029,0.006129,0.005236,0.00190833
12/31/18,-0.04992982,-0.04932,-0.093069,0.01404,0.019802,0.00193333
1/31/19,0.04495734,0.04802,0.085834,0.005284,0.009109,0.00200000
2/28/19,0.02085477,0.02099,0.035169,-0.000654,-0.00113,0.00196667
3/31/19,0.04561927,0.04438,0.014602,0.013053,0.021229,0.00200000
4/30/19,0.02793641,0.04186,0.039932,-0.000114,-0.001993,0.00195833
5/31/19,-0.04883865,-0.05883,-0.064712,0.014074,0.01911,0.00198333
6/30/19,0.0383669,0.04365,0.070237,0.007738,0.010982,0.00191667
7/31/19,0.01436514,0.01656,0.014865,0.000039,0.001816,0.00173333
8/31/19,0.04649392,0.03887,-0.020385,0.017534,0.027813,0.00170000
9/30/19,0.01359362,0.01583,0.017551,-0.004658,-0.006118,0.00162500
10/31/19,-0.00924217,-0.00742,0.021527,0.003389,0.00208,0.00153333
11/30/19,-0.0143136,-0.00472,0.038012,-0.002291,-0.000343,0.00125833
12/31/19,0.02786035,0.03029,0.028874,0.001214,-0.000474,0.00130000
1/31/20,0.0716478,0.06775,-0.001092,0.023473,0.02029,0.00126667
2/29/20,-0.08234618,-0.08277,-0.081873,0.014322,0.015851,0.00126667
3/31/20,-0.10486828,-0.10149,-0.137518,0.014835,-0.005267,0.00104167
4/30/20,0.06034857,0.05511,0.13244,0.004835,0.0172,0.00009167
5/31/20,0.02824026,0.03452,0.053478,0.003794,0.006728,0.00007500
6/30/20,-0.01610343,-0.0274,0.022862,0.001602,0.006588,0.00011667
7/31/20,0.05314104,0.0543,0.056783,0.004191,0.01333,0.00013333
8/31/20,0.08043739,0.10328,0.072444,-0.006842,-0.008234,0.00007500
9/30/20,-0.01062258,0.00432,-0.036411,0.003293,-0.000975,0.00009167
10/31/20,0.00612577,0.02035,-0.021583,-0.004126,-0.00559,0.00008333
11/30/20,0.06011469,0.04902,0.121653,0.018053,0.012065,0.00007500
12/31/20,0.06482562,0.05357,0.044988,0.002797,0.000865,0.00006667
1/31/21,0.01730055,0.00357,-0.004448,-0.002951,-0.007446,0.00007500
2/28/21,-0.05744497,-0.08259,0.031257,-0.008026,-0.015183,0.00005000
3/31/21,-0.02838553,-0.03648,0.035843,-0.007009,-0.0115,0.00003333
4/30/21,0.06340793,0.05258,0.051549,0.003871,0.007317,0.00002500
5/31/21,0.01572837,0.0116,0.004565,0.0023,0.00203,0.00000833
6/30/21,0.0157602,0.02493,0.024659,0.001129,0.00828,0.00000833
