Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,,Risk_Free
2/29/08,-0.01477341,-0.00835000,-0.03106000,0.00127000,-0.00159900,0.00160000
3/31/08,-0.03046080,-0.02890000,-0.00592500,0.00180400,0.00129500,0.00150833
4/30/08,0.00818528,0.01267000,0.05000900,-0.00416300,0.00330400,0.00113333
5/31/08,0.01444248,0.01592000,0.02048700,-0.01604200,-0.01264300,0.00117500
6/30/08,-0.03068787,-0.01737000,-0.08252100,-0.00428100,-0.00186100,0.00154167
7/31/08,-0.04998624,-0.06094000,-0.00797600,0.00194400,0.00394900,0.00155833
8/31/08,0.03468866,0.03843000,0.01553100,0.00391000,0.00742800,0.00137500
9/30/08,-0.01294618,-0.00553000,-0.09402400,-0.00200300,-0.01761200,0.00140833
10/31/08,-0.11093144,-0.10979000,-0.17736000,-0.01628000,-0.02278300,0.00075000
11/30/08,-0.01432585,-0.03122000,-0.07893900,0.05432800,0.03031200,0.00036667
12/31/08,-0.00429053,0.00197000,0.01913100,0.03977100,0.06652900,0.00000833
1/31/09,-0.04383070,-0.02831000,-0.08392000,-0.02025600,-0.01986600,0.00009170
2/28/09,-0.09933785,-0.10257000,-0.10475500,-0.00900300,-0.01055000,0.00020000
3/31/09,0.04088427,0.04050000,0.08759400,0.01375400,0.01101900,0.00021667
4/30/09,0.00666171,0.00317000,0.10523400,-0.00628400,0.00515400,0.00017500
5/31/09,0.03714195,0.03318000,0.05336400,0.01090100,0.00711300,0.00011667
6/30/09,0.02313512,0.02092000,0.00340000,0.01691500,0.00424800,0.00011667
7/31/09,-0.01181261,-0.03365000,0.07783600,0.03113200,0.01269500,0.00015833
8/31/09,0.00067179,-0.01681000,0.03573200,0.01219600,0.01221200,0.00015000
9/30/09,0.04494700,0.04592000,0.04189600,0.00677200,0.01188800,0.00012500
10/31/09,-0.07402910,-0.08826000,-0.02572000,0.00099000,0.00221000,0.00011667
11/30/09,0.03705018,0.01385000,0.05682400,0.01228200,0.01286500,0.00004170
