Date,CrestCast_100,CrestCast_50,Russell_3000,CrestCast Bond,AGG,Risk_Free
8/31/13,-0.01862567,-0.03348,-0.008257,-0.005217,-0.008257,0
9/30/13,0.05899858,0.05446,0.011212,0.007599,0.011212,0
10/31/13,0.01864756,0.02909,0.008316,0.003715,0.008316,0
11/30/13,0.04094574,0.02908,-0.002491,-0.000953,-0.002491,0
12/31/13,0.01971788,0.01683,-0.005561,-0.007651,-0.005561,0
1/31/14,-0.01303633,-0.01805,0.015409,0.010477,0.015409,0
2/28/14,0.07228374,0.07703,0.003755,0.001909,0.003755,0
3/31/14,-0.05284146,-0.06612,-0.001485,-0.003215,-0.001485,0
4/30/14,-0.03222738,-0.04148,0.008219,0.003582,0.008219,0
5/31/14,0.01822392,0.03479,0.011791,0.006829,0.011791,0
6/30/14,0.06186333,0.06585,-0.000569,-0.000795,-0.000569,0
7/31/14,-0.042668,-0.03896,-0.002511,-0.001956,-0.002511,0
8/31/14,0.07331998,0.08195,0.01149,0.006787,0.01149,0
9/30/14,-0.03124465,-0.01819,-0.006146,-0.00346,-0.006146,0
10/31/14,0.00972514,0.00269,0.010631,0.00653,0.010631,0
11/30/14,0.01875491,0.00816,0.006573,0.004735,0.006573,0
12/31/14,-0.00090178,0.00665,0.001481,-0.001486,0.001481,0
1/31/15,0.00509217,0.00359,0.020523,0.016604,0.020523,0
2/28/15,0.00836507,0.00615,-0.008947,-0.009156,-0.008947,0
3/31/15,-0.01917567,-0.02287,0.003753,0.004924,0.003753,0
4/30/15,-0.04295304,-0.03539,-0.003236,-0.001711,-0.003236,0
5/31/15,0.04285673,0.04737,-0.004368,-0.003423,-0.004368,0
6/30/15,0.00233178,-0.0016,-0.010759,-0.014833,-0.010759,0
7/31/15,0.03939084,0.05031,0.008631,0.00835,0.008631,0
8/31/15,-0.06317649,-0.06977,-0.003361,-0.003865,-0.003361,0
9/30/15,0.0266074,0.02902,0.008112,0.009025,0.008112,0
10/31/15,0.03324901,0.04124,0.000685,0.00322,0.000685,0
11/30/15,-0.00464313,-0.00531,-0.00389,-0.004585,-0.00389,0
12/31/15,-0.027761,-0.02138,-0.001928,-0.007683,-0.001928,0.0001
1/31/16,-0.03581885,-0.06563,0.012406,0.013154,0.012406,0.0001
2/29/16,0.01080616,0.01691,0.008873,0.003814,0.008873,0.0002
3/31/16,0.05959628,0.05752,0.008703,0.002424,0.008703,0.0002
4/30/16,-0.0113824,-0.01397,0.002592,0.000194,0.002592,0.0001
5/31/16,0.03007361,0.03268,0.000139,-0.001596,0.000139,0.0001
6/30/16,0.05554084,0.0509,0.019309,0.027151,0.019309,0.0002
7/31/16,0.00159065,-0.00205,0.005489,0.007037,0.005489,0.0002
8/31/16,-0.01711242,-0.0118,-0.002152,-0.002536,-0.002152,0.0002
9/30/16,-0.0022579,0.00179,0.000511,0.001099,0.000511,0.0002
10/31/16,-0.06459148,-0.06986,-0.008168,-0.010729,-0.008168,0.0002
11/30/16,0.08242793,0.09105,-0.025656,-0.03107,-0.025656,0.0001
12/31/16,-0.00047113,-0.00931,0.002544,0.003925,0.002544,0.0003
1/31/17,0.04681442,0.04126,0.002128,0.002277,0.002128,0.0004
2/28/17,0.06010612,0.05487,0.006462,0.002888,0.006462,0.0004
3/31/17,0.02164097,0.02393,-0.000541,0.000852,-0.000541,0.0003
4/30/17,-0.01412575,-0.00995,0.009066,0.005151,0.009066,0.0005
5/31/17,0.02891826,0.03012,0.006878,0.003583,0.006878,0.0006
6/30/17,-0.00597556,-0.00303,-0.00018,-0.0019,-0.00018,0.0006
7/31/17,0.04233196,0.0419,0.003345,0.00325,0.003345,0.0007
8/31/17,0.02596771,0.03201,0.009406,0.005791,0.009406,0.0009
9/30/17,-0.01278246,-0.02184,-0.005713,-0.005612,-0.005713,0.0009
10/31/17,0.0507356,0.05972,0.00098,-0.000969,0.00098,0.0009
11/30/17,0.02029647,0.01623,-0.001484,-0.002504,-0.001484,0.0008
12/31/17,0.01176785,0.01771,0.004748,0.000212,0.004748,0.0009
1/31/18,0.07325843,0.08634,-0.01125,-0.008543,-0.01125,0.0011
2/28/18,-0.01026037,-0.01241,-0.010082,-0.003775,-0.010082,0.0011
3/31/18,0.0469242,0.05055,0.00671,0.004351,0.00671,0.0012
4/30/18,-0.01251363,-0.01413,-0.009405,-0.004737,-0.009405,0.0014
5/31/18,0.00729737,0.00251,0.006621,0.005136,0.006621,0.0014
6/30/18,-0.02549938,-0.0342,0.001032,0.000787,0.001032,0.0014
7/31/18,0.00731723,0.01066,-0.000289,-0.001122,-0.000289,0.0016
8/31/18,0.11172828,0.11739,0.005685,0.005189,0.005685,0.0016
9/30/18,-0.01794253,-0.02168,-0.006191,-0.004185,-0.006191,0.0015
10/31/18,0.00699552,0.00792,-0.006444,-0.00016,-0.006444,0.0019
11/30/18,0.05857922,0.06053,0.005236,0.006129,0.005236,0.0018
12/31/18,-0.04992982,-0.04932,0.019802,0.01404,0.019802,0.0019
1/31/19,0.04495734,0.04802,0.009109,0.005284,0.009109,0.0021
2/28/19,0.02085477,0.02099,-0.00113,-0.000654,-0.00113,0.0018
3/31/19,0.04561927,0.04438,0.021229,0.013053,0.021229,0.0019
4/30/19,0.02793641,0.04186,-0.001993,-0.000114,-0.001993,0.0021
5/31/19,-0.04883865,-0.05883,0.01911,0.014074,0.01911,0.0021
6/30/19,0.0383669,0.04365,0.010982,0.007738,0.010982,0.0018
7/31/19,0.01436514,0.01656,0.001816,0.000039,0.001816,0.0019
8/31/19,0.04649392,0.03887,0.027813,0.017534,0.027813,0.0016
9/30/19,0.01359362,0.01583,-0.006118,-0.004658,-0.006118,0.0018
10/31/19,-0.00924217,-0.00742,0.00208,0.003389,0.00208,0.0015
11/30/19,-0.0143136,-0.00472,-0.000343,-0.002291,-0.000343,0.0012
12/31/19,0.02786035,0.03029,-0.000474,0.001214,-0.000474,0.0014
1/31/20,0.0716478,0.06775,0.02029,0.023473,0.02029,0.0013
2/29/20,-0.08234618,-0.08277,0.015851,0.014322,0.015851,0.0012
3/31/20,-0.10486828,-0.10149,-0.005267,0.014835,-0.005267,0.0012
4/30/20,0.06034857,0.05511,0.0172,0.004835,0.0172,0
5/31/20,0.02824026,0.03452,0.006728,0.003794,0.006728,0.0001
6/30/20,-0.01610343,-0.0274,0.006588,0.001602,0.006588,0.0001
7/31/20,0.05314104,0.0543,0.01333,0.004191,0.01333,0.0001
8/31/20,0.08043739,0.10328,-0.008234,-0.006842,-0.008234,0.0001
9/30/20,-0.01062258,0.00432,-0.000975,0.003293,-0.000975,0.0001
10/31/20,0.00612577,0.02035,-0.00559,-0.004126,-0.00559,0.0001
11/30/20,0.06011469,0.04902,0.012065,0.018053,0.012065,0.0001
12/31/20,0.06482562,0.05357,0.000865,0.002797,0.000865,0.0001
1/31/21,0.01730055,0.00357,-0.007446,-0.002951,-0.007446,0
2/28/21,-0.05744497,-0.08259,-0.015183,-0.008026,-0.015183,0
3/31/21,-0.02838553,-0.03648,-0.0115,-0.007009,-0.0115,0
4/30/21,0.06340793,0.05258,0.007317,0.003871,0.007317,0
5/31/21,0.01572837,0.0116,0.00203,0.0023,0.00203,0
6/30/21,0.0157602,0.02493,0.00828,0.001129,0.00828,0
7/31/21,-0.00718207,-0.00264,0.0112,0.007259,0.0112,0
8/31/21,0.05518411,0.07041,-0.00201,-0.001374,-0.00201,0
9/30/21,-0.04641898,-0.05284,-0.00917,-0.005817,-0.00917,0
10/31/21,0.07699426,0.05464,-0.000095,-0.004453,-0.000095,0
11/30/21,0.0328792,0.01287,0.00271,0.002295,0.00271,0
12/31/21,0.08746537,0.09417,-0.0036,-0.00265,-0.0036,0.0001
1/31/22,-0.01708349,-0.00521,-0.019986,-0.012252,-0.019986,0
2/28/22,-0.02653171,-0.02449,-0.011452,-0.004497,-0.011452,0
3/31/22,0.04175146,0.03508,-0.028133,-0.023284,-0.028133,0
4/30/22,-0.00212244,0.00352,-0.038058,-0.016732,-0.038058,0
5/31/22,0.00277284,0.00661,0.007618,0.00678,0.007618,0.0003
6/30/22,-0.03521526,-0.02144,-0.015522,-0.008082,-0.015522,0.0006
7/31/22,0.01007521,0.00404,0.025362,0.013589,0.025362,0.0008
8/31/22,-0.02468792,-0.01984,-0.030425,-0.018778,-0.030425,0.0019
9/30/22,-0.07303347,-0.07858,-0.041437,-0.023774,-0.041437,0.0019
10/31/22,0.08647141,0.07997,-0.012806,-0.004904,-0.012806,0.0023
11/30/22,0.05183139,0.05137,0.038081,0.017576,0.038081,0.0029
12/31/22,-0.0138295,-0.01121,-0.008727,-0.003239,-0.008727,0.0033
1/31/23,-0.01271639,-0.01368,0.033302,0.016979,0.033302,0.0035
2/28/23,-0.02877384,-0.03373,-0.02667,-0.016051,-0.02667,0.0034
3/31/23,0.03391302,0.03845,0.026424,0.023006,0.026424,0.0036
4/30/23,0.02558213,0.02816,0.005742,0.004552,0.005742,0.0035
5/31/23,-0.05225282,-0.05611,-0.011415,-0.006876,-0.011415,0.0036
